Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","39"
"FBS","Bilans Alimentaires (2010-)","52","Azerba?djan","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","146"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","6"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","25"
"FBS","Bilans Alimentaires (2010-)","12","Bahamas","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","22"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","260"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","0"
"FBS","Bilans Alimentaires (2010-)","16","Bangladesh","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","260"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","16"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","2"
"FBS","Bilans Alimentaires (2010-)","14","Barbade","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","18"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","467"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5611","Importations - Quantit?","2734","Viande de Volailles","2019","2019","Milliers de tonnes","10"
"FBS","Bilans Alimentaires (2010-)","57","B?larus","5301","Disponibilit? int?rieure","2734","Viande de Volailles","2019","2019","Milliers de tonnes","271"
"FBS","Bilans Alimentaires (2010-)","255","Belgique","5511","Production","2734","Viande de Volailles","2019","2019","Milliers de tonnes","448"
