,Pays,var_pop(2015),dispo_alim_kcal_ppj_tot,dispo_prot_g_ppj_tot,ratio_prot_anim,PIB par habitant en dollar US,Importation en dollars,taux_prod,cluster
116,Royaume-Uni,2.473008657522744,3395.0,106.19,55.428948111874945,41855,28064000.0,81.42123287671232,3
117,Rwanda,9.961859356376639,2214.0,58.83,14.448410674825771,820,934000.0,90.47619047619048,1
118,République arabe syrienne,-5.432136301206756,2760.0,74.09,29.140234849507358,1194,41245000.0,89.05109489051095,4
119,République centrafricaine,5.310962586284834,1870.0,50.9,41.29666011787819,468,225000.0,53.84615384615385,1
120,République de Corée,0.7851880558726949,3453.0,99.0,54.4040404040404,32143,10683000.0,87.64976958525345,4
121,République de Moldova,-0.6785855879273746,2687.0,69.84,39.47594501718213,2957,1764000.0,64.17910447761194,4
122,République dominicaine,4.258122622325183,2970.0,69.79,50.19343745522281,8282,3930000.0,86.79706601466992,2
123,République démocratique du Congo,12.151116606946468,1913.0,25.91,12.389038981088381,545,805000.0,7.142857142857142,1
124,République démocratique populaire lao,5.973829252014275,2762.0,75.1,24.394141145139816,2625,3024000.0,90.0,2
125,République-Unie de Tanzanie,11.24519943923213,2374.0,60.08,18.974700399467377,1085,3981000.0,94.18604651162791,1
126,Saint-Kitts-et-Nevis,3.0668458815288795,2553.0,71.3,61.72510518934081,19896,44000.0,0.0,4
127,Saint-Vincent-et-les Grenadines,1.303022904628851,2949.0,91.46,56.93199212770611,7464,127000.0,0.0,4
128,Sainte-Lucie,2.004486022211281,2633.0,84.3,58.196915776986955,11611,63000.0,16.666666666666664,4
129,Samoa,1.8183939887466578,3095.0,89.49,59.425634149066944,4285,173000.0,0.0,4
130,Sao Tomé-et-Principe,7.265084443121792,2402.0,54.56,32.53299120234604,1961,113000.0,33.33333333333333,1
131,Serbie,-1.1917373394579602,2865.0,86.58,50.57750057750058,7359,6545000.0,92.85714285714286,4
132,Seychelles,2.824870317887435,3123.0,95.8,52.90187891440501,17382,218000.0,25.0,4
133,Sierra Leone,8.207901612844392,2332.0,50.33,22.074309556924298,528,153000.0,62.5,1
134,Slovaquie,0.392192578613978,2914.0,71.07,53.580976502040244,19256,30137000.0,73.95833333333334,4
135,Slovénie,0.35864554658928327,3149.0,95.34,54.52066289070694,26062,4671000.0,140.0,4
136,Soudan,9.133361975564661,2581.0,75.87,26.25543693159352,815,2620000.0,133.92857142857142,1
137,Sri Lanka,1.949499180091966,2719.0,67.43,28.118048346433337,3940,3573000.0,100.53191489361701,4
138,Suisse,3.4289079791162407,3379.0,97.16,63.10209962947716,85135,2705000.0,66.44295302013423,3
139,Suède,2.7044514759755485,3184.0,108.1,64.15356151711377,52896,6141000.0,66.10878661087865,3
140,Sénégal,10.541645976979895,2601.0,64.39,22.767510482994254,1452,960000.0,99.1304347826087,1
141,Tadjikistan,9.301451837127662,2484.0,71.64,32.43997766610832,894,1593000.0,42.10526315789473,2
142,Tchad,11.512605980005112,2272.0,78.06,34.67845247245708,707,190000.0,100.0,1
143,Tchéquie (la),0.8215013851820092,3286.0,86.77,60.03226921747148,23452,18920000.0,65.63706563706563,4
144,Thaïlande,1.308529097824992,2808.0,60.83,43.087292454381064,7785,21784000.0,198.54586129753915,2
145,Timor-Leste,7.487091288582103,2232.0,48.18,21.73100871731009,1561,349000.0,9.090909090909092,1
146,Togo,9.393388025239144,2464.0,56.8,17.059859154929576,899,161000.0,64.70588235294117,1
147,Trinité-et-Tobago,1.7667008608768773,2959.0,85.05,51.73427395649618,16637,909000.0,69.66292134831461,4
148,Tunisie,4.401730387878495,3499.0,100.76,28.21556173084557,3318,4987000.0,109.85221674876848,2
149,Turkménistan,6.3412379047166745,2879.0,89.97,40.66911192619763,8124,5154000.0,70.0,2
150,Turquie,5.8734611204906075,3734.0,111.07,35.77023498694517,9127,8813000.0,127.80034822983168,2
151,Ukraine,-2.109398181618897,3036.0,90.09,49.661449661449666,3496,61089000.0,117.59799833194329,4
152,Uruguay,1.436418858294716,3209.0,87.51,54.66803793852131,16190,2213000.0,91.17647058823529,4
153,Vanuatu,9.587771190001401,2605.0,64.49,41.029616994882936,3023,52000.0,25.0,2
154,Venezuela (République bolivarienne du),-5.491686740020779,2204.0,51.55,43.70514064015519,4733,0.0,100.0,4
155,Viet Nam,3.923851714371652,2939.0,88.21,38.95249971658543,2715,16775000.0,86.70382165605095,2
156,Yémen,9.13531350917131,2019.0,53.33,20.588786799174947,855,7000000.0,54.54545454545454,1
157,Zambie,11.094931255364331,2267.0,60.89,22.713089177204797,1292,4308000.0,78.46153846153847,1
158,Zimbabwe,5.673010927339433,1707.0,38.21,27.37503271394923,1464,3480000.0,96.29629629629629,1
159,Égypte,7.91481075645311,3307.0,95.52,24.79061976549414,3161,20666000.0,96.78068410462777,2
160,Équateur,6.68622423988679,2563.0,64.09,50.990794195662346,6184,18264000.0,99.68051118210862,2
161,États-Unis d'Amérique,2.487839504324917,3862.0,115.01,66.02034605686462,65134,8380000.0,118.4659238144597,3
162,Éthiopie,10.031584048106183,2439.0,70.55,9.071580439404677,828,1952000.0,98.71794871794873,1
163,Îles Salomon,9.958601003548699,2411.0,52.85,29.933774834437088,1945,20000.0,0.0,1
