Code Domaine,Domaine,Code zone,Zone,Code ?l?ment,?l?ment,Code Produit,Produit,Code ann?e,Ann?e,Unit?,Valeur
"FBS","Bilans Alimentaires (2010-)","194","Arabie saoudite","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","35.7"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3304"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","106.95"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","1017"
"FBS","Bilans Alimentaires (2010-)","9","Argentine","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","67.89"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3022"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","94.29"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2941","Produits Animaux","2019","2019","Kcal/personne/jour","975"
"FBS","Bilans Alimentaires (2010-)","1","Arm?nie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2941","Produits Animaux","2019","2019","g/personne/jour","52.86"
"FBS","Bilans Alimentaires (2010-)","10","Australie","664","Disponibilit? alimentaire (Kcal/personne/jour)","2901","Total General","2019","2019","Kcal/personne/jour","3417"
"FBS","Bilans Alimentaires (2010-)","10","Australie","674","Disponibilit? de prot?ines en quantit? (g/personne/jour)","2901","Total General","2019","2019","g/personne/jour","107.94"
