"LOCATION","Pays","COMMODITY","Produit","VARIABLE","Variable","TIME","Temps","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2022","2022","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.819,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2023","2023","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.835,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2024","2024","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.845,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2025","2025","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.855,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2026","2026","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.865,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2027","2027","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.876,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2028","2028","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.885,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2029","2029","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.895,,
"WLD","MONDE","SH","Viande ovine","FO__PC","Consommation humaine par tête","2030","2030","KG_HAB","Kilogrammes par habitant","0","Unités",,,1.904,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2021","2021","TONNE","Tonnes","3","Milliers",,,135070.991,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2022","2022","TONNE","Tonnes","3","Milliers",,,137280.348,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2023","2023","TONNE","Tonnes","3","Milliers",,,138412.635,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2024","2024","TONNE","Tonnes","3","Milliers",,,140621.106,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2025","2025","TONNE","Tonnes","3","Milliers",,,142772.765,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2026","2026","TONNE","Tonnes","3","Milliers",,,144857.529,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2027","2027","TONNE","Tonnes","3","Milliers",,,146980.299,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2028","2028","TONNE","Tonnes","3","Milliers",,,149124.378,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2029","2029","TONNE","Tonnes","3","Milliers",,,151307.298,,
"WLD","MONDE","PT","Viande de volaille","QP","Production","2030","2030","TONNE","Tonnes","3","Milliers",,,153479.033,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2021","2021",,,"0","Unités",,,133345.583,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2022","2022",,,"0","Unités",,,135624.285,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2023","2023",,,"0","Unités",,,136764.658,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2024","2024",,,"0","Unités",,,138963.95,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2025","2025",,,"0","Unités",,,141116.549,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2026","2026",,,"0","Unités",,,143218.855,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2027","2027",,,"0","Unités",,,145338.898,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2028","2028",,,"0","Unités",,,147473.369,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2029","2029",,,"0","Unités",,,149664.593,,
"WLD","MONDE","PT","Viande de volaille","QC","Consommation","2030","2030",,,"0","Unités",,,151831.021,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2021","2021","KG_HAB","Kilogrammes par habitant","0","Unités",,,14.98,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2022","2022","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.085,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2023","2023","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.064,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2024","2024","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.161,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2025","2025","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.254,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2026","2026","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.341,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2027","2027","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.43,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2028","2028","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.521,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2029","2029","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.618,,
"WLD","MONDE","PT","Viande de volaille","FO__PC","Consommation humaine par tête","2030","2030","KG_HAB","Kilogrammes par habitant","0","Unités",,,15.713,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2021","2021","TONNE","Tonnes","3","Milliers",,,112861.457,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2022","2022","TONNE","Tonnes","3","Milliers",,,117798.956,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2023","2023","TONNE","Tonnes","3","Milliers",,,122346.482,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2024","2024","TONNE","Tonnes","3","Milliers",,,122985.969,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2025","2025","TONNE","Tonnes","3","Milliers",,,123627.006,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2026","2026","TONNE","Tonnes","3","Milliers",,,124421.186,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2027","2027","TONNE","Tonnes","3","Milliers",,,125105.826,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2028","2028","TONNE","Tonnes","3","Milliers",,,125832.91,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2029","2029","TONNE","Tonnes","3","Milliers",,,126542.979,,
"WLD","MONDE","PK","Viande porcine","QP","Production","2030","2030","TONNE","Tonnes","3","Milliers",,,127278.348,,
"WLD","MONDE","PK","Viande porcine","QC","Consommation","2021","2021","TONNE","Tonnes","3","Milliers",,,112596.796,,
"WLD","MONDE","PK","Viande porcine","QC","Consommation","2022","2022","TONNE","Tonnes","3","Milliers",,,117545.711,,
"WLD","MONDE","PK","Viande porcine","QC","Consommation","2023","2023","TONNE","Tonnes","3","Milliers",,,122104.884,,
"WLD","MONDE","PK","Viande porcine","QC","Consommation","2024","2024","TONNE","Tonnes","3","Milliers",,,122730.406,,
"WLD","MONDE","PK","Viande porcine","QC","Consommation","2025","2025","TONNE","Tonnes","3","Milliers",,,123373.38,,
