cluster,var_pop(2015),dispo_alim_kcal_ppj_tot,dispo_prot_g_ppj_tot,ratio_prot_anim,PIB par habitant en dollar US,Importation en dollars,taux_prod
1,9.645242018347467,2370.0,57.71,21.72149358298388,1220.1025641025642,2290794.871794872,65.83817190741678
2,6.43275494308619,2833.372549019608,76.81764705882354,39.71695399543059,6288.745098039216,8617156.862745099,80.53793958326702
3,3.5121141372315305,3501.25,111.283125,61.661101741927624,62174.5625,34273750.0,86.88629453372374
4,0.5896940527529415,3056.877192982456,91.01754385964914,52.58573018541793,13855.456140350878,12214385.96491228,76.36698547568882
5,0.9278223889038687,3353.0,108.11,64.35112385533253,53053.0,708039000.0,695.3020134228188
